Año;Mes;Moneda;Subtítulo;Nombre Subtítulo;Ejecución de NOVIEMBRE;Ejecución a NOVIEMBRE
2021;Noviembre;DOLARES;01;IMPUESTOS;11.011;1.205.401
2021;Noviembre;DOLARES;05;TRANSFERENCIAS CORRIENTES;0;2.959.816
2021;Noviembre;DOLARES;06;RENTAS DE LA PROPIEDAD;336.220;1.792.590
2021;Noviembre;DOLARES;07;INGRESOS DE OPERACIÓN;213;2.469
2021;Noviembre;DOLARES;08;OTROS INGRESOS CORRIENTES;129.642;1.597.439
2021;Noviembre;DOLARES;10;VENTA DE ACTIVOS NO FINANCIEROS;5;18
2021;Noviembre;DOLARES;11;VENTA DE ACTIVOS FINANCIEROS;-1.623.849;-15.988.742
2021;Noviembre;DOLARES;12;RECUPERACIÓN DE PRÉSTAMOS;37;1.292
2021;Noviembre;DOLARES;14;ENDEUDAMIENTO;500.000;16.110.293
2021;Noviembre;DOLARES;21;GASTOS EN PERSONAL;11.899;117.875
2021;Noviembre;DOLARES;22;BIENES Y SERVICIOS DE CONSUMO;11.557;96.979
2021;Noviembre;DOLARES;23;PRESTACIONES DE SEGURIDAD SOCIAL;234;235
2021;Noviembre;DOLARES;24;TRANSFERENCIAS CORRIENTES;6.196;63.425
2021;Noviembre;DOLARES;26;OTROS GASTOS CORRIENTES;247;248
2021;Noviembre;DOLARES;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;565;2.402
2021;Noviembre;DOLARES;30;ADQUISICIÓN DE ACTIVOS FINANCIEROS;-717.569;3.380.716
2021;Noviembre;DOLARES;31;INICIATIVAS DE INVERSIÓN;35;434
2021;Noviembre;DOLARES;32;PRÉSTAMOS;54;609
2021;Noviembre;DOLARES;33;TRANSFERENCIAS DE CAPITAL;299;784
2021;Noviembre;DOLARES;34;SERVICIO DE LA DEUDA;47.145;1.072.860
2021;Noviembre;PESOS;01;IMPUESTOS;4.258.947.901;40.598.305.877
2021;Noviembre;PESOS;04;IMPOSICIONES PREVISIONALES;233.073.312;2.551.050.311
2021;Noviembre;PESOS;05;TRANSFERENCIAS CORRIENTES;2.759.953;36.230.755
2021;Noviembre;PESOS;06;RENTAS DE LA PROPIEDAD;48.127.136;341.761.747
2021;Noviembre;PESOS;07;INGRESOS DE OPERACIÓN;87.323.522;1.188.166.884
2021;Noviembre;PESOS;08;OTROS INGRESOS CORRIENTES;277.756.046;2.420.206.353
2021;Noviembre;PESOS;09;APORTE FISCAL;187.619;20.755.369
2021;Noviembre;PESOS;10;VENTA DE ACTIVOS NO FINANCIEROS;1.191.369;7.980.899
2021;Noviembre;PESOS;11;VENTA DE ACTIVOS FINANCIEROS;1.300.150.060;22.469.173.489
2021;Noviembre;PESOS;12;RECUPERACIÓN DE PRÉSTAMOS;58.441.593;1.502.298.845
2021;Noviembre;PESOS;13;TRANSFERENCIAS PARA GASTOS DE CAPITAL;7.589.197;129.442.421
2021;Noviembre;PESOS;14;ENDEUDAMIENTO;1.040.280.183;9.919.883.748
2021;Noviembre;PESOS;21;GASTOS EN PERSONAL;897.534.968;10.284.685.427
2021;Noviembre;PESOS;22;BIENES Y SERVICIOS DE CONSUMO;485.693.885;3.986.039.341
2021;Noviembre;PESOS;23;PRESTACIONES DE SEGURIDAD SOCIAL;743.754.187;8.287.551.658
2021;Noviembre;PESOS;24;TRANSFERENCIAS CORRIENTES;1.608.379.161;17.046.196.007
2021;Noviembre;PESOS;25;INTEGROS AL FISCO;24.967.468;261.799.382
2021;Noviembre;PESOS;26;OTROS GASTOS CORRIENTES;10.988.019;119.525.485
2021;Noviembre;PESOS;28;APORTE FISCAL PARA SERVICIO DE LA DEUDA;0;409.829
2021;Noviembre;PESOS;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;33.754.150;177.846.470
2021;Noviembre;PESOS;30;ADQUISICIÓN DE ACTIVOS FINANCIEROS;-368.413.399;3.915.215.561
2021;Noviembre;PESOS;31;INICIATIVAS DE INVERSIÓN;268.130.589;2.674.271.957
2021;Noviembre;PESOS;32;PRÉSTAMOS;62.849.451;722.210.055
2021;Noviembre;PESOS;33;TRANSFERENCIAS DE CAPITAL;312.041.570;2.841.386.460
2021;Noviembre;PESOS;34;SERVICIO DE LA DEUDA;629.762.262;9.324.900.746
