"Efectivos de gando"
"Número de animais"


;;
;Galicia;
"2018"
"Bovino"; 934798   
"Menos de 12 meses"; 273298   
"Destinado a sacrificio"; 234190   
"Ourtros (machos e femias)"; 39108   
"De 12 a 24 meses"; 107441   
"Machos"; 3034   
"Femias (sacrificio, reposición)"; 104407   
"Animais de máis de 2 anos"; 554059   
"Porcino"; 1200790   
"Leitóns"; 315140   
"Porcos de 20 a 49 kg"; 233022   
"Porcos de cebo (Total, de 50 a 79 Kg, de 80 a 109 Kg, máis de 109 Kg)"; 552319   
"Resto (verróns e porcas reprodutoras)"; 100309   
"Ovino"; 203560   
"Cordeiros"; 48373   
"Sementais"; 9646   
"Femias para vida"; 145541   
"Caprino"; 50523   
"Chivos"; 10447   
"Sementais"; 2906   
"Femias para vida"; 37170   
"2019"
"Bovino"; 934032   
"Menos de 12 meses"; 271147   
"Destinado a sacrificio"; 230083   
"Ourtros (machos e femias)"; 41064   
"De 12 a 24 meses"; 107927   
"Machos"; 3155   
"Femias (sacrificio, reposición)"; 104772   
"Animais de máis de 2 anos"; 554961   
"Porcino"; 1352480   
"Leitóns"; 251725   
"Porcos de 20 a 49 kg"; 328796   
"Porcos de cebo (Total, de 50 a 79 Kg, de 80 a 109 Kg, máis de 109 Kg)"; 672435   
"Resto (verróns e porcas reprodutoras)"; 99525   
"Ovino"; 190104   
"Cordeiros"; 40201   
"Sementais"; 9742   
"Femias para vida"; 140161   
"Caprino"; 46541   
"Chivos"; 7365   
"Sementais"; 2930   
"Femias para vida"; 36246   
"2020"
"Bovino"; 939125   
"Menos de 12 meses"; 272121   
"Destinado a sacrificio"; 229215   
"Ourtros (machos e femias)"; 42906   
"De 12 a 24 meses"; 110669   
"Machos"; 3645   
"Femias (sacrificio, reposición)"; 107024   
"Animais de máis de 2 anos"; 556335   
"Porcino"; 1286720   
"Leitóns"; 258211   
"Porcos de 20 a 49 kg"; 166290   
"Porcos de cebo (Total, de 50 a 79 Kg, de 80 a 109 Kg, máis de 109 Kg)"; 780289   
"Resto (verróns e porcas reprodutoras)"; 81930   
"Ovino"; 186826   
"Cordeiros"; 37459   
"Sementais"; 9799   
"Femias para vida"; 139568   
"Caprino"; 44704   
"Chivos"; 7045   
"Sementais"; 2966   
"Femias para vida"; 34693   

"Encuestas ganaderas. Ministerio de Agricultura, Pesca y Alimentación"
"Os datos refírense ao número de animales a novembro de cada ano."

I.G.E. - Instituto Galego de Estatística
